Census year,Occupation,Total Weight,Female,Male
2000,mason,267749.0,0.011619091014345525,0.9883809089856544
1910,guard,94578.0,0.004239886654401658,0.9957601133455983
2007,lawyer,1128029.0,0.3373246609794606,0.6626753390205393
2012,physician,942155.0,0.3467051599789843,0.6532948400210157
2013,conductor,57599.0,0.06427194916578413,0.9357280508342158
1990,technician,2725160.0,0.46126025627853046,0.5387397437214696
2004,plumber,699610.0,0.012851445805520218,0.9871485541944798
2011,housekeeper,146091.0,0.745302585374869,0.2546974146251309
1870,welder,289.9,0.0,1.0
2003,bartender,446086.0,0.5752186798061361,0.42478132019386394
1950,mathematician,2309.0,0.29233434387180596,0.707665656128194
2001,librarian,2419653.0,0.8682678879988164,0.13173211200118365
1980,bookbinder,38240.0,0.6134937238493724,0.3865062761506276
2003,laborer,6930522.0,0.1653076059783087,0.8346923940216913
1950,stereotyper,20775.0,0.07793020457280385,0.9220697954271961
1960,tradesperson,4093400.0,0.058005569941857626,0.9419944300581424
2014,athlete,452480.0,0.3786355198019802,0.6213644801980198
1860,clergy,38892.810000000005,0.05949814374430645,0.9405018562556935
2001,instructor,1266752.0,0.46659725029050675,0.5334027497094933
2002,doorkeeper,1747424.0,0.2565021425824528,0.7434978574175471
2003,veterinarian,66714.0,0.3969481668015709,0.6030518331984291
1850,engineer,11237.489999999994,0.0,1.0
1920,housekeeper,2043550.420000003,0.9441414614081312,0.055858538591868866
1900,draftsperson,11411.210000000015,0.024222672267007583,0.9757773277329924
2008,tradesperson,6559046.0,0.04090915050755857,0.9590908494924414
1990,porter,45724.0,0.10583063598985215,0.8941693640101478
1990,chemist,157320.0,0.27084922451055177,0.7291507754894483
2002,teacher,6159527.0,0.7574690394246182,0.24253096057538184
1920,attendant,62909.299999999996,0.5104340693665326,0.4895659306334675
2007,chemist,103566.0,0.3667709479945156,0.6332290520054844
1900,janitor,61268.16000000007,0.18703450536134913,0.8129654946386509
2000,cabinetmaker,102458.0,0.07464522048058717,0.9253547795194128
2013,jeweler,129835.0,0.2264720606924173,0.7735279393075827
1940,technician,72728.0,0.3038169618303817,0.6961830381696184
2008,dentist,184884.0,0.24363384608727634,0.7563661539127237
2009,accountant,2488038.0,0.5991094187468198,0.4008905812531802
2007,doorkeeper,1864384.0,0.24947328447358483,0.7505267155264151
2005,optometrist,36417.0,0.28753054891946067,0.7124694510805393
1900,lumberjack,38749.21000000001,0.00914289607452642,0.9908571039254737
1920,economist,100.6,1.0,0.0
1930,student,250652.96999999924,0.4643080431083644,0.5356919568916356
2010,bartender,511790.0,0.6000508020867934,0.3999491979132066
2005,designer,957604.0,0.5855719065500979,0.41442809344990206
1850,driver,38747.40000000008,0.0,1.0
1930,postmaster,35932.79999999992,0.3948275670139818,0.6051724329860183
2001,driver,4814880.0,0.1351090785232446,0.8648909214767554
1900,accountant,12404.30000000003,0.07764887982393184,0.9223511201760681
1960,statistician,28840.0,0.4029126213592233,0.5970873786407767
1850,administrator,6004.529999999998,0.0,1.0
1980,operator,2374760.0,0.5523758190301336,0.44762418096986645
1980,tailor,77840.0,0.44141829393627957,0.5585817060637205
1880,paperhanger,4684.4299999999985,0.0,1.0
2006,proprietor,21249862.0,0.38574179917027224,0.6142582008297277
2004,doorkeeper,1735932.0,0.24652463345338413,0.7534753665466158
2006,technician,2820391.0,0.5702893676798714,0.4297106323201287
2013,mailperson,687236.0,0.28705131861543925,0.7129486813845608
1940,surveyor,19258.0,0.05649600166164711,0.9435039983383529
2009,geologist,86907.0,0.3253707986698425,0.6746292013301576
2002,administrator,509439.0,0.5814631388645157,0.41853686113548433
2012,setter,75093.0,0.031121409452279175,0.9688785905477209
1870,soldier,32294.72000000001,0.0033550376036701962,0.9966449623963298
2006,professor,1451095.0,0.47684541673701586,0.5231545832629841
1970,technician,1862600.0,0.3715236765811232,0.6284763234188768
1970,boilermaker,75000.0,0.02,0.98
2011,official,20942666.0,0.3948021708410954,0.6051978291589046
2015,operator,1461575.0,0.3869401159707849,0.6130598840292151
2009,machinist,453811.0,0.04745147208860076,0.9525485279113992
1850,peddler,11253.869999999995,0.0,1.0
2005,conductor,63593.0,0.053150503986287796,0.9468494960137122
2008,chiropractor,82654.0,0.35320734628693107,0.6467926537130689
2005,lumberjack,62607.0,0.10906128707652499,0.890938712923475
2007,sales,8775316.0,0.45177393042028346,0.5482260695797165
1960,instructor,193840.0,0.2656830375567478,0.7343169624432522
2001,mailperson,829313.0,0.3009273941201935,0.6990726058798066
2015,bartender,531168.0,0.6086210012651364,0.39137899873486354
2009,farmer,848207.0,0.16100550926837434,0.8389944907316257
2008,pilot,153705.0,0.04795549917048892,0.9520445008295111
2001,dancer,32352.0,0.7451471315529179,0.2548528684470821
1900,instructor,8230.199999999995,0.07404194308765281,0.9259580569123471
1900,guard,58397.95999999988,0.008750476900220504,0.9912495230997794
1940,pilot,7178.0,0.041794371691278906,0.9582056283087211
1860,auctioneer,1903.9599999999996,0.0,1.0
1950,dentist,73743.0,0.027948415442821693,0.9720515845571783
2011,paperhanger,6579.0,0.1366469068247454,0.8633530931752545
2012,conservationist,52864.0,0.15640133171912832,0.8435986682808717
2009,operator,1696338.0,0.4216376689079653,0.5783623310920347
1920,secretary,669118.7300000002,0.908626634917244,0.09137336508275583
1990,electrician,799198.0,0.027224792854836973,0.9727752071451631
2007,designer,960363.0,0.563018358683123,0.43698164131687706
2008,doorkeeper,1952279.0,0.2615384378974522,0.7384615621025479
2011,weaver,15537.0,0.62103366158203,0.37896633841797
2001,administrator,459081.0,0.5737549582753371,0.426245041724663
1990,inspector,270898.0,0.24523990579480098,0.754760094205199
1920,clergy,162608.4499999999,0.16473276757757682,0.8352672324224232
1860,bankteller,978.21,0.0,1.0
1960,mailperson,879120.0,0.08192283192283192,0.9180771680771681
1900,conductor,82475.06999999983,0.010317542016029834,0.9896824579839701
1980,scientist,344440.0,0.24909998838694694,0.7509000116130531
2002,musician,1330216.0,0.6535660373954305,0.3464339626045695
1910,proprietor,1910672.0,0.05993388713499753,0.9400661128650025
2000,professor,1345001.0,0.47411563262778245,0.5258843673722176
2014,mailperson,692105.0,0.28774246682223076,0.7122575331777693
1940,huckster,58064.0,0.06398112427666024,0.9360188757233397
1950,upholsterer,67493.0,0.06865897204154504,0.931341027958455
2009,tradesperson,6444726.0,0.03940710590333864,0.9605928940966614
2005,toolmaker,108633.0,0.030644463468743385,0.9693555365312566
2003,nutritionist,103996.0,0.8911015808300319,0.10889841916996808
2007,dietitian,99026.0,0.8927857330398077,0.10721426696019228
2008,newsperson,790939.0,0.5882982126308097,0.4117017873691903
2001,statistician,52749.0,0.3805948927941762,0.6194051072058238
1990,salesperson,1524383.0,0.41127131436128583,0.5887286856387142
2002,psychologist,187740.0,0.6748588473420688,0.3251411526579312
1940,newsperson,118554.0,0.13847698095382696,0.861523019046173
1900,nurse,115193.25999999912,0.9364986284787837,0.06350137152121624
1990,secretary,5869301.0,0.9785502566659983,0.021449743334001785
1870,bookbinder,5995.980000000002,0.12160147298690117,0.8783985270130988
2007,bailiff,14134.0,0.2670157068062827,0.7329842931937173
1870,therapist,941.58,0.11306527326408801,0.8869347267359119
2013,technician,3218657.0,0.5625793615163095,0.43742063848369056
2009,entertainer,320178.0,0.5687711210639081,0.4312288789360918
2014,fireperson,444801.0,0.037317811785495085,0.9626821882145049
1950,plumber,297638.0,0.007502402247024909,0.9924975977529751
1990,plumber,585594.0,0.015799342206375064,0.984200657793625
1860,clerk,105.84,0.0,1.0
1940,inspector,126498.0,0.060396211797814986,0.939603788202185
2002,plasterer,57226.0,0.008684863523573201,0.9913151364764268
1870,milliner,26927.319999999985,0.9689664623141107,0.031033537685889297
1900,stereotyper,2783.2999999999965,0.01426364387597458,0.9857363561240254
2014,teacher,7029032.0,0.7678576509539293,0.23214234904607065
2000,guard,1588852.0,0.23706613328365386,0.7629338667163461
2012,upholsterer,48382.0,0.21158695382580298,0.788413046174197
1880,nurse,35150.3900000001,0.928498944108444,0.07150105589155605
2007,dentist,179473.0,0.2310263939422643,0.7689736060577357
2006,typesetter,61912.0,0.46549941852952575,0.5345005814704742
2001,veterinarian,57585.0,0.4103325518798298,0.5896674481201701
1960,boilermaker,33080.0,0.0018137847642079807,0.998186215235792
2001,draftsperson,224216.0,0.21802190744639097,0.7819780925536091
1990,doctor,627840.0,0.2119281982670744,0.7880718017329256
1970,clerical,14480900.0,0.673991257449468,0.3260087425505321
2002,cashier,4246449.0,0.7783599897231781,0.22164001027682187
2014,physician,923738.0,0.35374965628782185,0.6462503437121782
2002,statistician,53108.0,0.45123145288845373,0.5487685471115463
2015,mechanic,12854246.0,0.2403771485313102,0.7596228514686898
1920,retired,154056.6200000003,0.07013298097803253,0.9298670190219674
2003,physicist,23930.0,0.13510238194734642,0.8648976180526535
1960,cabinetmaker,81640.0,0.021313081822635964,0.9786869181773641
2004,carpenter,2026432.0,0.023391853267220417,0.9766081467327796
2004,broker,2582270.0,0.5899204963075124,0.41007950369248763
1900,fireperson,80901.18999999989,0.0055933664263776665,0.9944066335736224
2005,carpenter,1981048.0,0.024106432554890138,0.9758935674451099
2008,welder,770504.0,0.06357786591633528,0.9364221340836647
2000,bankteller,528150.0,0.8983565275016567,0.10164347249834327
1870,setter,999.99,0.0,1.0
1880,photographer,10649.63000000001,0.05053415001272339,0.9494658499872766
1850,toolmaker,191.67000000000002,0.0,1.0
1970,welder,1268300.0,0.0775841677836474,0.9224158322163526
1910,broker,217510.0,0.022596662222426556,0.9774033377775735
1920,geologist,2123.43,0.04679221825066049,0.9532077817493395
2012,baker,266397.0,0.5779381899946321,0.4220618100053679
1980,soldier,1782500.0,0.09700981767180926,0.9029901823281907
2014,shoemaker,218760.0,0.0681523130371183,0.9318476869628817
1850,dentist,2223.27,0.0,1.0
2014,laborer,8493236.0,0.151894166134086,0.848105833865914
1850,craftsperson,68415.23000000004,0.0,1.0
2015,surveyor,119010.0,0.13279556339803378,0.8672044366019662
1940,mason,147561.0,0.009467271162434518,0.9905327288375655
1980,inspector,241700.0,0.15531650806785272,0.8446834919321473
2005,pharmacist,258874.0,0.5021168599395845,0.4978831400604155
2011,therapist,778162.0,0.7901118276143014,0.2098881723856986
1920,electrician,208692.13000000003,0.008145874978610834,0.9918541250213891
2013,economist,372282.0,0.5682009874235123,0.43179901257648773
2010,carpenter,1732211.0,0.019094671492098828,0.9809053285079011
2003,clerk,771540.0,0.31084195245871893,0.6891580475412811
1980,peddler,339340.0,0.8298461719809042,0.1701538280190959
1980,technician,1931340.0,0.4175753621837688,0.5824246378162312
1960,constable,7980.0,0.040100250626566414,0.9598997493734336
1860,weaver,39606.73999999999,0.640352374368604,0.35964762563139585
1930,technician,28316.98000000001,0.3377930838669942,0.6622069161330059
2001,clergy,581612.0,0.29075053472074164,0.7092494652792584
1940,milliner,11988.0,0.8665331998665332,0.1334668001334668
2015,physicist,11683.0,0.11743559017375674,0.8825644098262433
1870,inspector,4192.5,0.0,1.0
2009,dentist,176643.0,0.2240960581511863,0.7759039418488137
1930,accountant,203376.64999999956,0.09733221586647262,0.9026677841335273
2000,shoemaker,296486.0,0.04756042443825341,0.9524395755617466
1990,mechanic,14025323.0,0.34142707444242104,0.658572925557579
2000,instructor,1345001.0,0.47411563262778245,0.5258843673722176
2003,janitor,5035591.0,0.5361561334111528,0.46384386658884724
1920,therapist,6369.540000000001,0.4918251553487379,0.5081748446512621
1930,architect,100210.01999999986,0.022940819690486076,0.977059180309514
1930,psychologist,406.49,0.8006593028118774,0.1993406971881227
1860,painter,5339.5599999999995,0.0,1.0
1910,bailiff,10528.0,0.009498480243161094,0.9905015197568389
1910,mason,168819.0,0.0023812485561459313,0.997618751443854
1930,janitor,349316.12999999966,0.17716075693384126,0.8228392430661587
2007,jeweler,131488.0,0.235146933560477,0.764853066439523
2015,machinist,411141.0,0.04699117820893562,0.9530088217910644
2000,tradesperson,6882181.0,0.05481910458327091,0.9451808954167291
1910,designer,11539.0,0.32186497963428373,0.6781350203657163
1910,bootblack,11033.0,0.018127435874195595,0.9818725641258044
2010,bankteller,518614.0,0.8584322829696075,0.14156771703039256
1930,judge,163872.00000000352,0.02335963434875951,0.9766403656512406
1950,soldier,1022507.0,0.02041746413471986,0.9795825358652801
1910,doctor,140010.0,0.0501321334190415,0.9498678665809585
1950,technician,201558.0,0.35804086168745475,0.6419591383125453
1980,mechanic,15068940.0,0.3818437129618938,0.6181562870381062
2012,sales,8574289.0,0.4512367147876634,0.5487632852123365
2015,architect,386643.0,0.23409450061167536,0.7659054993883246
1920,pilot,818.19,0.0,1.0
2011,broker,2454302.0,0.5780250352238641,0.42197496477613594
2014,guard,1980903.0,0.24729227024240966,0.7527077297575904
2000,porter,67323.0,0.16512930202159737,0.8348706979784026
2000,teacher,5862951.0,0.7608276105326481,0.23917238946735184
2001,salesperson,2491230.0,0.4504746651252594,0.5495253348747406
2008,gardener,1764736.0,0.06556391437586132,0.9344360856241387
2005,upholsterer,65083.0,0.21912020035954088,0.7808797996404591
2002,athlete,270645.0,0.2978477341166473,0.7021522658833528
1860,veterinarian,101.02,0.0,1.0
1850,newsperson,2606.67,0.0,1.0
1920,engineer,468233.15999999986,0.0015112556317028042,0.9984887443682972
1970,toolmaker,446800.0,0.027081468218442255,0.9729185317815577
2013,clerk,758280.0,0.2972226618135781,0.7027773381864219
1900,osteopath,389.25,0.34882466281310215,0.6511753371868979
1910,postmaster,25076.0,0.3480618918487797,0.6519381081512203
2002,physician,796480.0,0.2918667135395741,0.7081332864604258
1910,blacksmith,241211.0,0.0008374410785577772,0.9991625589214422
2008,photographer,258657.0,0.41462245367417083,0.5853775463258292
1850,attendant,212.64999999999998,0.0,1.0
2008,sailor,36530.0,0.05039693402682727,0.9496030659731728
2009,veterinarian,78549.0,0.4668805459012845,0.5331194540987154
2005,sheriff,12528.0,0.30020753512132825,0.6997924648786717
2009,doctor,884804.0,0.33072296237358784,0.6692770376264122
1900,secretary,118725.00999999823,0.7285132256463862,0.27148677435361385
2004,jeweler,125597.0,0.17884981329171876,0.8211501867082812
1900,shoemaker,11880.040000000008,0.2647651018010039,0.7352348981989961
2006,accountant,2343885.0,0.5977114918180713,0.40228850818192874
1900,statistician,275.05,0.07176876931467005,0.92823123068533
2008,painter,244213.0,0.14285889776547522,0.8571411022345248
1870,surgeon,62590.60000000002,0.011356497621048523,0.9886435023789515
2010,salesperson,2400717.0,0.44452553133084827,0.5554744686691517
1920,soldier,246788.62000000215,0.002074204231945523,0.9979257957680544
2009,compositor,54715.0,0.4952572420725578,0.5047427579274422
1860,farmer,2683253.999999945,0.03843961100961817,0.9615603889903819
1970,carpenter,2264000.0,0.013604240282685512,0.9863957597173145
2001,manager,20020345.0,0.3876194940696576,0.6123805059303423
2012,chemist,93597.0,0.3887517762321442,0.6112482237678558
1920,psychologist,100.6,1.0,0.0
1930,carpenter,897021.4900000001,0.004156712009207271,0.9958432879907927
2012,teacher,6890362.0,0.7682301742637034,0.2317698257362966
1850,conservationist,186.22000000000003,0.0,1.0
1910,dentist,40137.0,0.0249395819318833,0.9750604180681167
1960,smith,159960.0,0.018129532383095774,0.9818704676169042
2015,photographer,319974.0,0.41632132610774625,0.5836786738922537
1960,musician,236500.0,0.6043128964059197,0.3956871035940803
1930,fireperson,186916.74000000028,0.00530519631361,0.99469480368639
1870,technician,117.81,0.0,1.0
2011,boilermaker,32189.0,0.018329242909068316,0.9816707570909317
1900,musician,95071.90999999983,0.57629219818977,0.42370780181023004
2010,cabinetmaker,79088.0,0.059983815496661944,0.940016184503338
1930,mathematician,244.21999999999997,0.4135615428711817,0.5864384571288184
2005,photographer,223977.0,0.41085468597222036,0.5891453140277796
2000,cook,4390073.0,0.5215831262942553,0.47841687370574476
2006,electrician,1024479.0,0.02645735051670166,0.9735426494832984
1940,clerk,245283.0,0.07040439003110692,0.9295956099688931
2014,lumberjack,44144.0,0.0654222544400145,0.9345777455599855
2009,judge,1170426.0,0.3415986999605272,0.6584013000394728
2005,bailiff,12528.0,0.30020753512132825,0.6997924648786717
1880,bartender,25354.750000000287,0.008106567802877081,0.9918934321971229
1940,teamster,30061.0,0.013306277236286218,0.9866937227637138
1920,bootblack,15419.400000000005,0.012748226260425174,0.9872517737395748
1920,welder,26312.13000000001,0.019595144900849907,0.9804048550991501
1920,librarian,548409.0299999999,0.5492442201398471,0.450755779860153
2008,police,1092815.0,0.16558063350155333,0.8344193664984467
1880,athlete,3021.17,0.01476911262855119,0.9852308873714488
1970,mason,479600.0,0.012718932443703085,0.987281067556297
2008,bartender,502597.0,0.5997528835229816,0.4002471164770184
2007,guard,1864384.0,0.24947328447358483,0.7505267155264151
2014,proprietor,22042430.0,0.3973427158439428,0.6026572841560572
1950,milliner,18134.0,0.8056137641998455,0.1943862358001544
1860,photographer,3748.7200000000003,0.026152926865703495,0.9738470731342965
1860,lawyer,34718.73999999999,0.002696238400356696,0.9973037615996433
2005,sales,8560538.0,0.4505334828254953,0.5494665171745047
2004,dietitian,91111.0,0.9078596437312728,0.09214035626872716
2004,cabinetmaker,103572.0,0.0859402155022593,0.9140597844977407
2009,bookbinder,43875.0,0.4611054131054131,0.5388945868945869
1970,plumber,858200.0,0.01118620368212538,0.9888137963178746
1850,tradesperson,488131.2500000005,0.0,1.0
2007,geologist,81660.0,0.2615968650502082,0.7384031349497918
2011,guard,1985931.0,0.24720244560359853,0.7527975543964015
1970,huckster,416300.0,0.827768436223877,0.17223156377612298
2002,official,20624956.0,0.4012134619826583,0.5987865380173417
2007,laborer,8271195.0,0.14691214510116132,0.8530878548988386
1880,mailperson,39553.60000000002,0.04957778811536748,0.9504222118846325
2003,dentist,190131.0,0.2002198484202997,0.7997801515797003
2001,postmaster,51292.0,0.5902089994541059,0.4097910005458941
1900,eletrotyper,2783.2999999999965,0.01426364387597458,0.9857363561240254
1950,chiropractor,14087.0,0.13863846099240434,0.8613615390075956
1910,cashier,59776.0,0.5839634635974305,0.4160365364025696
2005,author,238839.0,0.5735872282164973,0.4264127717835027
1940,clerical,2054156.0,0.3593485597004317,0.6406514402995683
2001,dietitian,111082.0,0.9030986118363011,0.09690138816369889
2010,compositor,48052.0,0.5154416049279946,0.4845583950720053
2001,bookbinder,53376.0,0.6317633393285371,0.3682366606714628
2014,housekeeper,139218.0,0.7210849171802497,0.2789150828197503
1900,bailiff,7455.210000000001,0.01304859286324597,0.9869514071367541
2000,doorkeeper,1588852.0,0.23706613328365386,0.7629338667163461
2001,painter,272344.0,0.15843565490702935,0.8415643450929706
1930,salesperson,172151.60999999967,0.3454601441136677,0.6545398558863323
1860,unemployed,3639.2699999999995,0.3526174205266441,0.6473825794733559
2012,physicist,13367.0,0.2208423730081544,0.7791576269918455
2013,compositor,46986.0,0.555995402885966,0.44400459711403395
1860,architect,2002.1799999999998,0.0,1.0
1950,teamster,25795.0,0.020081411126187245,0.9799185888738128
2015,teacher,7025670.0,0.7662355334082016,0.23376446659179836
2011,typesetter,56626.0,0.4829936778158443,0.5170063221841557
1950,conductor,69238.0,0.0007943614778012074,0.9992056385221988
2003,newsperson,797795.0,0.589191458958755,0.4108085410412449
1910,manager,1955899.0,0.06300938852159545,0.9369906114784046
2000,upholsterer,75830.0,0.23667413952261637,0.7633258604773836
1880,lumberjack,11622.25,0.005126373980941728,0.9948736260190583
2001,judge,998779.0,0.3130011744339839,0.6869988255660161
