"Occupation, 1950 basis",Single words
Engineering-Professors and instructors,"professor, instructor"
"Apprentices, metalworking trades (nec)",tradesperson
"Stenographers, typists, and secretaries",secretary
"Tool makers, and die makers and setters","tradesperson, setter, toolmaker"
Helping at home/helps parents/housework,housekeeper
"Social and welfare workers, except group",
"Shoemakers and repairers, except factory","shoemaker, tradesperson"
"Gardeners, except farm and groundskeepers",gardener
"Brickmasons,stonemasons, and tile setters","tradesperson, mason"
Opticians and lens grinders and polishers,
"Managers, officials, and proprietors (nec)","manager, official, proprietor"
Keeps house/housekeeping at home/housewife,housekeeper
"Attendants, hospital and other institution",attendant
"Attendants, physicians and dentists office",attendant
Express messengers and railway mail clerks,
"Motormen, mine, factory, logging camp, etc",
Invalid/disabled w/ no occupation reported,unemployed
Medical Sciences-Professors and instructors,"professor, instructor"
"Dressmakers and seamstresses, except factory",
Radio and television-mechanics and repairmen,"mechanic, tradesperson"
"Painters, except construction or maintenance","tradesperson, painter"
Garage laborers and car washers and greasers,laborer
Railroad and car shop-mechanics and repairmen,"mechanic, tradesperson"
"Officers, pilots, pursers and engineers, ship",
"Motormen, street, subway, and elevated railway",
Biological sciences-Professors and instructors,"professor, instructor"
"Service workers, except private household (nec)",
"Inspectors, scalers, and graders log and lumber",
Subject not specified-Professors and instructors,"professor, instructor"
"Meat cutters, except slaughter and packing house",
"Tinsmiths, coppersmiths, and sheet metal workers","smith, tradesperson"
Social sciences (nec)-Professors and instructors,"professor, instructor"
Agricultural sciences-Professors and instructors,"professor, instructor"
Natural science (nec)-Professors and instructors,"professor, instructor"
"Professional, technical and kindred workers (nec)",
"Excavating, grading, and road machinery operators",operator
Geology and geophysics-Professors and instructors,"professor, instructor"
Non-scientific subjects-Professors and instructors,"professor, instructor"
"Attendants, professional and personal service (nec)",attendant
"Housekeepers and stewards, except private household",housekeeper
"Jewelers, watchmakers, goldsmiths, and silversmiths",jeweler
"Linemen and servicemen, telegraph, telephone, and power",
"Officials and administratators (nec), public administration","administrator, official"
"Fruit, nut, and vegetable graders, and packers, except facto",
